eixo,proposta,categoria,faixa_prioridade,score_final,score,tipo_gap,evidencia_id,doc_id,titulo,pagina,url,hipotese_competencia,trecho_curto
dados_e_tecnologia,"Capacitacao em dados, tecnologia e inteligencia institucional",Capacitacao,alta,0.9728,20,explicito,ev_f386b0e0a7c439ec,doc_9df507a622168524,Diagnóstico sobre acessibilidade e inclusão da pessoa com deficiência nos órgãos do Poder Judiciário,44,https://www.cnj.jus.br/wp-content/uploads/2025/03/pnudcnj-relatorio-pessoa-com-deficiencia-13032025.pdf,acessibilidade e comunicacao inclusiva,"A dificuldade em encontrar profissionais qualificados para atender a pessoas com deficiência foi um dos principais desafios relatados nos formulários. Pouco mais da metade dos(as) respondentes destacou essa questão, sugerindo que há uma escassez de mão de obra especializada, especialmente no contexto judiciário (Figura 14). Isso é agravado pela falta de treinamento adequado para magistrados(as) e servidores(as) em temas de acessibilidade e inclusão. Embora os dados do Painel do Balanço da Sustentabilidade do CNJ indiquem um aumento considerável no investimento em capacitação de gestores(as) em"
dados_e_tecnologia,"Capacitacao em dados, tecnologia e inteligencia institucional",Capacitacao,alta,0.9728,19,explicito,ev_595347f544f619a2,doc_6c96f9e40e01d9ef,Pesquisa sobre Percepção e Avaliação do Poder Judiciário Brasileiro,64,https://www.cnj.jus.br/wp-content/uploads/2023/04/relatorio-pesquisa-percepcao-e-avaliacao-do-pjb.pdf,acessibilidade e comunicacao inclusiva,"falta de capacitação do Poder Judiciário, seguido pelo PJe (14,8%). As dificuldades relacionadas à usabilidade variaram principalmente con­ forme os públicos. O público de advogados(as) indicou essa dificuldade de maneira majoritariamente uniforme entre os sistemas, variando entre 42,4% (SAJ) e 44,3% (PJe). O Projudi foi o mais indicado no que toca à ausência de comunicação entre outros sistemas e/ou cadastros (26,7%). O PJe foi o mais indicado no que toca à dificuldade com formação e edição de textos (10,4%) e com o uso e navegação relacionada a layout, informação e afins (14,1%). O e-Proc fo"
dados_e_tecnologia,"Capacitacao em dados, tecnologia e inteligencia institucional",Capacitacao,alta,0.9728,17,explicito,ev_6f9e3a74c9ef6ab3,doc_6c96f9e40e01d9ef,Pesquisa sobre Percepção e Avaliação do Poder Judiciário Brasileiro,63,https://www.cnj.jus.br/wp-content/uploads/2023/04/relatorio-pesquisa-percepcao-e-avaliacao-do-pjb.pdf,,"(14,7%), no que toca à ausência de pessoal responsável para realizar apoio técnico e à falta de capacitação do Poder Judiciário. Vale também mencionar que as dificuldades menos mencionadas entre os(as) advogados(as) foram a dificuldade com formatação e edição de textos (8,2%), problemas de tráfego de rede e internet (12,9%) e falta de automação de alguns procedimentos (15,9%). Já os(as) defensores(as) tiveram menos apontamentos de problemas com certificados digitais (7,9%), dificuldade com formatação e edição de textos (9,3%) e dificuldade de uso e navegação rela­ cionada a layout, informação "
direitos_humanos_e_inclusao,"Capacitacao em direitos humanos, inclusao e acessibilidade",Capacitacao,alta,0.9523,16,explicito,ev_b83f68b83cad98ee,doc_fa609f5f7dfa58ba,Avaliação sobre a aplicação das Medidas Protetivas de Urgência da Lei Maria da Penha,139,https://www.cnj.jus.br/wp-content/uploads/2022/08/relatorio-avaliacao-medidas-protetivas-lei-maria-da-penha-23082022.pdf,governanca e qualidade de dados,"cotidianas, o uso de dados e a alimentação dos sistemas utilizados pelo Datajud para a extração de metadados a serem publicados no Painel Nacional das Medidas Protetivas de Urgência, os quais podem subsidiar o aperfeiçoamento de programas e políticas com vistas à melhor implementação da LMP, notadamente no tocante à proteção das mulheres em situação de violência por meio das Medidas Protetivas de Urgência. Os grupos salientaram a importância do acesso e alimentação dos dados, destacando que ainda convivem com a resistência, por parte de muitos colegas, diante do próprio conceito de violência d"
direitos_humanos_e_inclusao,"Capacitacao em direitos humanos, inclusao e acessibilidade",Capacitacao,alta,0.9523,12,explicito,ev_f5b839faf5c1738b,doc_0d2fc18c272cafc9,2º Censo do Poder Judiciário 2023,123,https://www.cnj.jus.br/wp-content/uploads/2023/09/relatorio-do-censo-de-2023.pdf,"prevencao, acolhimento e encaminhamento institucional","123 Figura 110: Percepção dos(as) servidores(as) sobre dificuldade nos processos de promoção e progressão na carreira 10,8% 0,6% 2,6% 0,5% 0,8% 2,1% 1,3% 0,5% 1,9% 83,4% De sua orientação sexual De sua religião De ser pessoa com deficiência De sua origem geográfica De sua raça/cor Do gênero com que se identifica De sua origem social De sua idade De outra natureza Não considero sofrer ou ter sofrido dificuldades 0% 25% 50% 75% 100% Fonte: Conselho Nacional de Justiça, 2023. Conforme Figura 111, foi perguntado aos(às) servidores(as) se já sofreram ou sofrem algum episódio de assédio relacionado "
direitos_humanos_e_inclusao,"Capacitacao em direitos humanos, inclusao e acessibilidade",Capacitacao,alta,0.9523,12,explicito,ev_e4b0fda8279e2646,doc_8a9dc1b665dee65d,Pesquisa sobre Tendência Organizacional e a Capacidade Institucional dos Tribunais Brasileiros para a Inovação,23,https://www.cnj.jus.br/wp-content/uploads/2024/08/pesquisa-tendencia-organizacional-capacidade-institucional-tribunais-brasileiros-inovacao.pdf,acessibilidade e comunicacao inclusiva; gestao da inovacao e transformacao organizacional,"23 Quadro 3 – Antecedentes organizacionais N. Afirmativas Categorias 1 Há diversidade (idade, gênero, formação, trajetória profissional etc.) na composição da equipe. Diversidade na equipe 2 O nosso setor possui recursos técnicos e financeiros adequados para desenvolver e implemen­ tar ideias inovadoras para atender às demandas dos usuários (internos ou externos). Recursos técnicos e financeiros 3 No nosso setor, as inovações são desenvolvidas e implementadas em conjunto, muitas ve­ zes com colaboração de pessoas de outros setores e que possuem formação e experiência diversificada. Trabalho em"
avaliacao_e_monitoramento,"Trilha de avaliacao, monitoramento e planejamento estrategico",Trilha,alta,0.9063,20,explicito,ev_227296e8b01b6c74,doc_9df507a622168524,Diagnóstico sobre acessibilidade e inclusão da pessoa com deficiência nos órgãos do Poder Judiciário,43,https://www.cnj.jus.br/wp-content/uploads/2025/03/pnudcnj-relatorio-pessoa-com-deficiencia-13032025.pdf,acessibilidade e comunicacao inclusiva,"com frequência significativa (36,0%). Outros desafios mencionados incluem a falta de infraestrutura acessível e a inexistência de mecanismos efetivos de monitoramento e avaliação das ações. Esses resultados evidenciam a complexidade do cenário enfrentado e reforçam a necessidade de ações integradas para superar tais barreiras (Figura 14). Figura 14 - Percentual de respondentes sobre os desafios de implementar ações para acessibilidadeo gráfico apresenta nove barras horizontais, cada uma representando a frequência percentual dos desafios enfrentados na gestão de iniciativas de acessibilidade, c"
avaliacao_e_monitoramento,"Trilha de avaliacao, monitoramento e planejamento estrategico",Trilha,alta,0.9063,14,explicito,ev_076ca23ec9647f68,doc_8a9dc1b665dee65d,Pesquisa sobre Tendência Organizacional e a Capacidade Institucional dos Tribunais Brasileiros para a Inovação,195,https://www.cnj.jus.br/wp-content/uploads/2024/08/pesquisa-tendencia-organizacional-capacidade-institucional-tribunais-brasileiros-inovacao.pdf,acessibilidade e comunicacao inclusiva,"195 Codex, as audiências virtuais, o Balcão Virtual, a ampla adoção do teletrabalho durante a pandemia, a disseminação do uso de dashboards de apoio à gestão, entre outras iniciativas. • Mas os(as) entrevistados(as) apontaram como um dos principais desafios a exclusão digital e, portanto, a impossibilidade de parte da sociedade acessar os serviços judiciários disponibilizados eletronicamente. • A desigualdade digital foi identificada também entre os(as) advogados(as), pois nem todos têm acesso aos equipamentos mais modernos • As questões regionais também afetam a comunicação digital, principal"
avaliacao_e_monitoramento,"Trilha de avaliacao, monitoramento e planejamento estrategico",Trilha,alta,0.9063,14,explicito,ev_d2372f6d63b28cb9,doc_9df507a622168524,Diagnóstico sobre acessibilidade e inclusão da pessoa com deficiência nos órgãos do Poder Judiciário,106,https://www.cnj.jus.br/wp-content/uploads/2025/03/pnudcnj-relatorio-pessoa-com-deficiencia-13032025.pdf,,"e o engajamento dos(as) participantes, além de incluir instrumentos de avaliação da aprendizagem para garantir a efetividade dos conteúdos ministrados. As capacitações devem ser oferecidas de forma permanente, podendo ser disponibilizadas em plataformas de Ensino a Distância (EAD) com sistemas de gerenciamento da aprendizagem, permitindo acesso a qualquer tempo e facilitando a adesão de todos os públicos envolvidos. Participação de instrutores com deficiência: incluir profissionais com deficiência nos corpos docentes dos cursos, enriquecendo a capacitação com vivências e perspectivas práticas."
gestao_e_governanca,"Trilha de gestao, governanca e lideranca",Trilha,alta,0.8574,20,explicito,ev_227296e8b01b6c74,doc_9df507a622168524,Diagnóstico sobre acessibilidade e inclusão da pessoa com deficiência nos órgãos do Poder Judiciário,43,https://www.cnj.jus.br/wp-content/uploads/2025/03/pnudcnj-relatorio-pessoa-com-deficiencia-13032025.pdf,acessibilidade e comunicacao inclusiva,"com frequência significativa (36,0%). Outros desafios mencionados incluem a falta de infraestrutura acessível e a inexistência de mecanismos efetivos de monitoramento e avaliação das ações. Esses resultados evidenciam a complexidade do cenário enfrentado e reforçam a necessidade de ações integradas para superar tais barreiras (Figura 14). Figura 14 - Percentual de respondentes sobre os desafios de implementar ações para acessibilidadeo gráfico apresenta nove barras horizontais, cada uma representando a frequência percentual dos desafios enfrentados na gestão de iniciativas de acessibilidade, c"
gestao_e_governanca,"Trilha de gestao, governanca e lideranca",Trilha,alta,0.8574,17,explicito,ev_b5b9ef29fb19f11e,doc_9df507a622168524,Diagnóstico sobre acessibilidade e inclusão da pessoa com deficiência nos órgãos do Poder Judiciário,41,https://www.cnj.jus.br/wp-content/uploads/2025/03/pnudcnj-relatorio-pessoa-com-deficiencia-13032025.pdf,acessibilidade e comunicacao inclusiva,"que pode explicar a diversidade na forma de planejar pode estar na insuficiente previsão orçamentária para essas ações. Toni (2019), em seu estudo sobre planejamento estratégico no setor público, destaca que a falta de orçamento adequado pode levar a uma série de problemas na administração pública, incluindo a duplicação de esforços, a falta de coordenação entre diferentes planos e projetos e, em última análise, a ineficiência administrativa. A administração pública enfrenta diversos desafios na gestão orçamentária para ações de acessibilidade, incluindo: dificuldades em alocar recursos sufici"
gestao_e_governanca,"Trilha de gestao, governanca e lideranca",Trilha,alta,0.8574,16,explicito,ev_dbcad8e2d972869c,doc_9df507a622168524,Diagnóstico sobre acessibilidade e inclusão da pessoa com deficiência nos órgãos do Poder Judiciário,71,https://www.cnj.jus.br/wp-content/uploads/2025/03/pnudcnj-relatorio-pessoa-com-deficiencia-13032025.pdf,acessibilidade e comunicacao inclusiva,"a necessidade de incluir tecnologias assistivas e acessibilidade digital como parte das capacitações (MAG7), ampliando o conhecimento dos(as) servidores(as) sobre os direitos das pessoas com deficiência. Eu acho importante ter [capacitação em Libras] para o servidor poder atender essas pessoas (Trecho de entrevista com promotor(a) de justiça — MP6). Capacitar juízes e servidores para esses sistemas (Trecho de entrevista com magistrado(a) — MAG7). Quando perguntados sobre quais tipos de capacitação e treinamento em acessibilidade e inclusão deveriam ser priorizados pela gestão, quase 80% dos tr"
atendimento_e_servicos_judiciarios,Trilha de atendimento e servicos ao cidadao,Trilha,alta,0.8458,20,explicito,ev_f386b0e0a7c439ec,doc_9df507a622168524,Diagnóstico sobre acessibilidade e inclusão da pessoa com deficiência nos órgãos do Poder Judiciário,44,https://www.cnj.jus.br/wp-content/uploads/2025/03/pnudcnj-relatorio-pessoa-com-deficiencia-13032025.pdf,acessibilidade e comunicacao inclusiva,"A dificuldade em encontrar profissionais qualificados para atender a pessoas com deficiência foi um dos principais desafios relatados nos formulários. Pouco mais da metade dos(as) respondentes destacou essa questão, sugerindo que há uma escassez de mão de obra especializada, especialmente no contexto judiciário (Figura 14). Isso é agravado pela falta de treinamento adequado para magistrados(as) e servidores(as) em temas de acessibilidade e inclusão. Embora os dados do Painel do Balanço da Sustentabilidade do CNJ indiquem um aumento considerável no investimento em capacitação de gestores(as) em"
atendimento_e_servicos_judiciarios,Trilha de atendimento e servicos ao cidadao,Trilha,alta,0.8458,16,explicito,ev_dbcad8e2d972869c,doc_9df507a622168524,Diagnóstico sobre acessibilidade e inclusão da pessoa com deficiência nos órgãos do Poder Judiciário,71,https://www.cnj.jus.br/wp-content/uploads/2025/03/pnudcnj-relatorio-pessoa-com-deficiencia-13032025.pdf,acessibilidade e comunicacao inclusiva,"a necessidade de incluir tecnologias assistivas e acessibilidade digital como parte das capacitações (MAG7), ampliando o conhecimento dos(as) servidores(as) sobre os direitos das pessoas com deficiência. Eu acho importante ter [capacitação em Libras] para o servidor poder atender essas pessoas (Trecho de entrevista com promotor(a) de justiça — MP6). Capacitar juízes e servidores para esses sistemas (Trecho de entrevista com magistrado(a) — MAG7). Quando perguntados sobre quais tipos de capacitação e treinamento em acessibilidade e inclusão deveriam ser priorizados pela gestão, quase 80% dos tr"
atendimento_e_servicos_judiciarios,Trilha de atendimento e servicos ao cidadao,Trilha,alta,0.8458,16,explicito,ev_e10daf05c54c8216,doc_9df507a622168524,Diagnóstico sobre acessibilidade e inclusão da pessoa com deficiência nos órgãos do Poder Judiciário,91,https://www.cnj.jus.br/wp-content/uploads/2025/03/pnudcnj-relatorio-pessoa-com-deficiencia-13032025.pdf,acessibilidade e comunicacao inclusiva," em tecnologia assistiva para seus(suas) servidores(as), o que limita o uso eficiente dos sistemas por parte de pessoas com deficiência (Figura 49). Participantes do estudo relataram a necessidade urgente de treinamento, especialmente para juízes(as) e servidores(as) que interagem com esses sistemas no dia a dia. A falta de formação adequada resulta em falhas de usabilidade, como mencionado por um(a) participante: O chefe já tinha pedido várias vezes pra TI, e a TI não acessibilizou o sistema” (Trecho de entrevista com servidor(a) — S1). Não existe software e nem orientação da unidade de TI co"
