fonte_tipo,achado_classe,eixo,evidencias,documentos,score_final_medio,peso_fonte_medio
relatorio_diagnostico_pesquisa,gap_observado,dados_e_tecnologia,927,34,0.6647,1.0
relatorio_diagnostico_pesquisa,gap_observado,direitos_humanos_e_inclusao,789,33,0.638,1.0
relatorio_diagnostico_pesquisa,gap_observado,avaliacao_e_monitoramento,600,29,0.5659,1.0
relatorio_diagnostico_pesquisa,gap_observado,inovacao_e_transformacao,448,19,0.513,1.0
relatorio_diagnostico_pesquisa,gap_observado,atendimento_e_servicos_judiciarios,383,34,0.5586,1.0
relatorio_diagnostico_pesquisa,gap_observado,nao_classificado,330,27,0.3602,1.0
relatorio_diagnostico_pesquisa,gap_observado,gestao_e_governanca,295,30,0.5731,1.0
relatorio_diagnostico_pesquisa,gap_observado,comunicacao_e_acessibilidade,267,24,0.6023,1.0
relatorio_diagnostico_pesquisa,gap_observado,saude_e_bem_estar,194,23,0.4401,1.0
relatorio_diagnostico_pesquisa,gap_observado,equipes_multidisciplinares,85,19,0.4331,1.0
relatorio_diagnostico_pesquisa,gap_observado,formacao_de_liderancas,72,22,0.4532,1.0
ato_normativo,competencia_requerida,gestao_e_governanca,55,13,0.5521,0.85
relatorio_diagnostico_pesquisa,oferta_formativa,nao_classificado,50,12,0.3115,1.0
relatorio_diagnostico_pesquisa,oferta_formativa,dados_e_tecnologia,46,20,0.6695,1.0
ato_normativo,competencia_requerida,avaliacao_e_monitoramento,45,7,0.5872,0.85
ato_normativo,competencia_requerida,dados_e_tecnologia,26,9,0.639,0.85
relatorio_diagnostico_pesquisa,competencia_requerida,direitos_humanos_e_inclusao,22,14,0.6884,1.0
relatorio_diagnostico_pesquisa,competencia_requerida,avaliacao_e_monitoramento,22,11,0.6506,1.0
ato_normativo,competencia_requerida,atendimento_e_servicos_judiciarios,22,6,0.5175,0.85
ato_normativo,competencia_requerida,comunicacao_e_acessibilidade,21,13,0.5164,0.85
relatorio_diagnostico_pesquisa,competencia_requerida,dados_e_tecnologia,21,13,0.6899,1.0
relatorio_diagnostico_pesquisa,oferta_formativa,comunicacao_e_acessibilidade,20,10,0.5002,1.0
relatorio_diagnostico_pesquisa,oferta_formativa,gestao_e_governanca,20,9,0.5536,1.0
relatorio_diagnostico_pesquisa,oferta_formativa,direitos_humanos_e_inclusao,19,8,0.6823,1.0
relatorio_diagnostico_pesquisa,oferta_formativa,atendimento_e_servicos_judiciarios,17,11,0.5361,1.0
relatorio_diagnostico_pesquisa,oferta_formativa,inovacao_e_transformacao,15,5,0.5695,1.0
relatorio_diagnostico_pesquisa,oferta_formativa,avaliacao_e_monitoramento,14,9,0.6331,1.0
ato_normativo,competencia_requerida,inovacao_e_transformacao,14,7,0.5127,0.85
relatorio_diagnostico_pesquisa,competencia_requerida,nao_classificado,12,8,0.33,1.0
relatorio_diagnostico_pesquisa,competencia_requerida,equipes_multidisciplinares,12,4,0.4346,1.0
ato_normativo,competencia_requerida,direitos_humanos_e_inclusao,10,9,0.6859,0.85
ato_normativo,competencia_requerida,nao_classificado,10,2,0.3471,0.85
ato_normativo,competencia_requerida,equipes_multidisciplinares,9,3,0.4193,0.85
relatorio_diagnostico_pesquisa,competencia_requerida,formacao_de_liderancas,8,5,0.4188,1.0
ato_normativo,competencia_requerida,formacao_de_liderancas,8,1,0.3721,0.85
relatorio_diagnostico_pesquisa,competencia_requerida,gestao_e_governanca,7,6,0.5938,1.0
ato_normativo,gap_observado,atendimento_e_servicos_judiciarios,7,5,0.5816,0.85
relatorio_diagnostico_pesquisa,oferta_formativa,saude_e_bem_estar,7,5,0.4681,1.0
ato_normativo,gap_observado,comunicacao_e_acessibilidade,7,4,0.6439,0.85
relatorio_diagnostico_pesquisa,competencia_requerida,inovacao_e_transformacao,6,4,0.5575,1.0
ato_normativo,gap_observado,gestao_e_governanca,6,3,0.6306,0.85
ato_normativo,gap_observado,avaliacao_e_monitoramento,6,2,0.7368,0.85
relatorio_diagnostico_pesquisa,competencia_requerida,atendimento_e_servicos_judiciarios,5,5,0.6118,1.0
pagina_programa,competencia_requerida,avaliacao_e_monitoramento,5,3,0.6021,0.6
relatorio_diagnostico_pesquisa,oferta_formativa,equipes_multidisciplinares,5,3,0.5051,1.0
pagina_programa,competencia_requerida,gestao_e_governanca,5,2,0.5694,0.6
ato_normativo,gap_observado,direitos_humanos_e_inclusao,4,4,0.6648,0.85
ato_normativo,gap_observado,dados_e_tecnologia,4,2,0.8192,0.85
relatorio_diagnostico_pesquisa,competencia_requerida,comunicacao_e_acessibilidade,3,3,0.6352,1.0
relatorio_diagnostico_pesquisa,competencia_requerida,saude_e_bem_estar,3,3,0.4574,1.0
ato_normativo,competencia_requerida,saude_e_bem_estar,3,2,0.4731,0.85
ato_normativo,gap_observado,nao_classificado,3,2,0.3337,0.85
ato_normativo,gap_observado,saude_e_bem_estar,3,2,0.6006,0.85
oferta_formativa,oferta_formativa,avaliacao_e_monitoramento,3,2,0.5943,0.4
ato_normativo,gap_observado,equipes_multidisciplinares,2,2,0.5107,0.85
oferta_formativa,competencia_requerida,avaliacao_e_monitoramento,2,2,0.6183,0.4
oferta_formativa,competencia_requerida,gestao_e_governanca,2,2,0.5694,0.4
pagina_programa,competencia_requerida,direitos_humanos_e_inclusao,2,2,0.6643,0.6
pagina_programa,competencia_requerida,saude_e_bem_estar,2,2,0.4289,0.6
pagina_programa,gap_observado,gestao_e_governanca,2,2,0.6774,0.6
pagina_programa,gap_observado,saude_e_bem_estar,2,2,0.5369,0.6
ato_normativo,gap_observado,formacao_de_liderancas,2,1,0.5155,0.85
pagina_programa,competencia_requerida,dados_e_tecnologia,2,1,0.7118,0.6
ato_normativo,gap_observado,inovacao_e_transformacao,1,1,0.7067,0.85
noticia_cnj,gap_observado,direitos_humanos_e_inclusao,1,1,0.5428,0.45
oferta_formativa,competencia_requerida,dados_e_tecnologia,1,1,0.7028,0.4
oferta_formativa,gap_observado,avaliacao_e_monitoramento,1,1,0.6363,0.4
oferta_formativa,gap_observado,formacao_de_liderancas,1,1,0.4469,0.4
oferta_formativa,gap_observado,gestao_e_governanca,1,1,0.5874,0.4
oferta_formativa,oferta_formativa,comunicacao_e_acessibilidade,1,1,0.5452,0.4
oferta_formativa,oferta_formativa,dados_e_tecnologia,1,1,0.5768,0.4
oferta_formativa,oferta_formativa,gestao_e_governanca,1,1,0.5874,0.4
pagina_programa,competencia_requerida,atendimento_e_servicos_judiciarios,1,1,0.5848,0.6
pagina_programa,competencia_requerida,nao_classificado,1,1,0.2602,0.6
pagina_programa,gap_observado,avaliacao_e_monitoramento,1,1,0.7263,0.6
pagina_programa,gap_observado,comunicacao_e_acessibilidade,1,1,0.5002,0.6
pagina_programa,gap_observado,dados_e_tecnologia,1,1,0.7928,0.6
pagina_programa,gap_observado,direitos_humanos_e_inclusao,1,1,0.7723,0.6
relatorio_diagnostico_pesquisa,oferta_formativa,formacao_de_liderancas,1,1,0.4469,1.0
