eixo,hipotese_competencia,fonte_tipo,evidencias,documentos,score_final_medio
gestao_e_governanca,competencia_a_qualificar,ato_normativo,40,6,0.5317
avaliacao_e_monitoramento,competencia_a_qualificar,ato_normativo,34,4,0.5666
avaliacao_e_monitoramento,competencia_a_qualificar,relatorio_diagnostico_pesquisa,19,9,0.6387
comunicacao_e_acessibilidade,acessibilidade e comunicacao inclusiva,ato_normativo,18,11,0.5224
dados_e_tecnologia,competencia_a_qualificar,relatorio_diagnostico_pesquisa,17,9,0.6763
atendimento_e_servicos_judiciarios,competencia_a_qualificar,ato_normativo,17,7,0.4993
direitos_humanos_e_inclusao,competencia_a_qualificar,relatorio_diagnostico_pesquisa,15,8,0.6673
dados_e_tecnologia,competencia_a_qualificar,ato_normativo,15,4,0.6146
nao_classificado,competencia_a_qualificar,ato_normativo,13,3,0.344
nao_classificado,competencia_a_qualificar,relatorio_diagnostico_pesquisa,12,8,0.33
equipes_multidisciplinares,competencia_a_qualificar,relatorio_diagnostico_pesquisa,12,4,0.4346
direitos_humanos_e_inclusao,competencia_a_qualificar,ato_normativo,9,9,0.6255
avaliacao_e_monitoramento,acessibilidade e comunicacao inclusiva,ato_normativo,9,3,0.6518
inovacao_e_transformacao,gestao da inovacao e transformacao organizacional,ato_normativo,8,4,0.4916
equipes_multidisciplinares,competencia_a_qualificar,ato_normativo,8,2,0.4055
comunicacao_e_acessibilidade,acessibilidade e comunicacao inclusiva; gestao da inovacao e transformacao organizacional,ato_normativo,7,6,0.5673
inovacao_e_transformacao,acessibilidade e comunicacao inclusiva; gestao da inovacao e transformacao organizacional,ato_normativo,7,6,0.5646
dados_e_tecnologia,acessibilidade e comunicacao inclusiva,ato_normativo,7,5,0.7086
formacao_de_liderancas,competencia_a_qualificar,relatorio_diagnostico_pesquisa,7,4,0.4148
atendimento_e_servicos_judiciarios,acessibilidade e comunicacao inclusiva,ato_normativo,7,3,0.5597
gestao_e_governanca,acessibilidade e comunicacao inclusiva,ato_normativo,6,4,0.5987
formacao_de_liderancas,competencia_a_qualificar,ato_normativo,6,1,0.3498
gestao_e_governanca,competencia_a_qualificar,relatorio_diagnostico_pesquisa,5,5,0.5874
gestao_e_governanca,acessibilidade e comunicacao inclusiva; gestao da inovacao e transformacao organizacional,ato_normativo,5,4,0.5987
inovacao_e_transformacao,gestao da inovacao e transformacao organizacional,relatorio_diagnostico_pesquisa,5,4,0.5605
gestao_e_governanca,gestao da inovacao e transformacao organizacional,ato_normativo,5,3,0.5528
atendimento_e_servicos_judiciarios,competencia_a_qualificar,relatorio_diagnostico_pesquisa,4,4,0.5871
avaliacao_e_monitoramento,competencia_a_qualificar,pagina_programa,4,3,0.598
direitos_humanos_e_inclusao,"prevencao, acolhimento e encaminhamento institucional",relatorio_diagnostico_pesquisa,4,3,0.7048
gestao_e_governanca,competencia_a_qualificar,pagina_programa,4,2,0.5694
dados_e_tecnologia,acessibilidade e comunicacao inclusiva; gestao da inovacao e transformacao organizacional,ato_normativo,3,3,0.6885
saude_e_bem_estar,competencia_a_qualificar,ato_normativo,3,3,0.5624
atendimento_e_servicos_judiciarios,acessibilidade e comunicacao inclusiva; gestao da inovacao e transformacao organizacional,ato_normativo,2,2,0.587
avaliacao_e_monitoramento,acessibilidade e comunicacao inclusiva,relatorio_diagnostico_pesquisa,2,2,0.7713
avaliacao_e_monitoramento,"acessibilidade e comunicacao inclusiva; prevencao, acolhimento e encaminhamento institucional",ato_normativo,2,2,0.7432
avaliacao_e_monitoramento,competencia_a_qualificar,oferta_formativa,2,2,0.6183
avaliacao_e_monitoramento,gestao da inovacao e transformacao organizacional,ato_normativo,2,2,0.6667
comunicacao_e_acessibilidade,acessibilidade e comunicacao inclusiva,relatorio_diagnostico_pesquisa,2,2,0.6802
comunicacao_e_acessibilidade,"acessibilidade e comunicacao inclusiva; prevencao, acolhimento e encaminhamento institucional",ato_normativo,2,2,0.652
dados_e_tecnologia,acessibilidade e comunicacao inclusiva,relatorio_diagnostico_pesquisa,2,2,0.8378
dados_e_tecnologia,gestao da inovacao e transformacao organizacional,ato_normativo,2,2,0.5993
direitos_humanos_e_inclusao,acessibilidade e comunicacao inclusiva,relatorio_diagnostico_pesquisa,2,2,0.8173
direitos_humanos_e_inclusao,"acessibilidade e comunicacao inclusiva; prevencao, acolhimento e encaminhamento institucional",ato_normativo,2,2,0.7892
gestao_e_governanca,"acessibilidade e comunicacao inclusiva; prevencao, acolhimento e encaminhamento institucional",ato_normativo,2,2,0.6943
gestao_e_governanca,competencia_a_qualificar,oferta_formativa,2,2,0.5694
saude_e_bem_estar,competencia_a_qualificar,relatorio_diagnostico_pesquisa,2,2,0.4424
atendimento_e_servicos_judiciarios,"acessibilidade e comunicacao inclusiva; prevencao, acolhimento e encaminhamento institucional",ato_normativo,1,1,0.6253
atendimento_e_servicos_judiciarios,competencia_a_qualificar,pagina_programa,1,1,0.5848
atendimento_e_servicos_judiciarios,"estruturacao e atuacao de equipes multidisciplinares; governanca e qualidade de dados; prevencao, acolhimento e encaminhamento institucional",ato_normativo,1,1,0.6635
atendimento_e_servicos_judiciarios,gestao da inovacao e transformacao organizacional,ato_normativo,1,1,0.587
atendimento_e_servicos_judiciarios,gestao da inovacao e transformacao organizacional,relatorio_diagnostico_pesquisa,1,1,0.7108
avaliacao_e_monitoramento,acessibilidade e comunicacao inclusiva; estruturacao e atuacao de equipes multidisciplinares,ato_normativo,1,1,0.7623
avaliacao_e_monitoramento,acessibilidade e comunicacao inclusiva; gestao da inovacao e transformacao organizacional,ato_normativo,1,1,0.7241
avaliacao_e_monitoramento,estruturacao e atuacao de equipes multidisciplinares,ato_normativo,1,1,0.6476
avaliacao_e_monitoramento,gestao da inovacao e transformacao organizacional,relatorio_diagnostico_pesquisa,1,1,0.6363
avaliacao_e_monitoramento,governanca e qualidade de dados,ato_normativo,1,1,0.7623
avaliacao_e_monitoramento,governanca e qualidade de dados,pagina_programa,1,1,0.6183
comunicacao_e_acessibilidade,acessibilidade e comunicacao inclusiva; estruturacao e atuacao de equipes multidisciplinares,ato_normativo,1,1,0.6712
comunicacao_e_acessibilidade,acessibilidade e comunicacao inclusiva; gestao da inovacao e transformacao organizacional,relatorio_diagnostico_pesquisa,1,1,0.5452
dados_e_tecnologia,acessibilidade e comunicacao inclusiva; estruturacao e atuacao de equipes multidisciplinares,ato_normativo,1,1,0.8288
dados_e_tecnologia,competencia_a_qualificar,oferta_formativa,1,1,0.7028
dados_e_tecnologia,competencia_a_qualificar,pagina_programa,1,1,0.7388
dados_e_tecnologia,"estruturacao e atuacao de equipes multidisciplinares; governanca e qualidade de dados; prevencao, acolhimento e encaminhamento institucional",ato_normativo,1,1,0.7905
dados_e_tecnologia,gestao da inovacao e transformacao organizacional,relatorio_diagnostico_pesquisa,1,1,0.6578
dados_e_tecnologia,governanca e qualidade de dados,ato_normativo,1,1,0.8288
dados_e_tecnologia,governanca e qualidade de dados,pagina_programa,1,1,0.6848
